Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
132,DsWalbWysPArch,,Wałbrzych - ul. Wysockiego (PM10-Arch),,2004-01-02,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Wałbrzych,ul. Wysockiego 11,50.768747,16.269584
133,DsWitk09,,Witków,,1996-11-01,2004-05-20,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Witków,,50.816520,16.122029
134,DsWitka,PL0319A,Witka,,1996-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Witka,,51.041136,14.980327
135,DsWlen03,PL0062A,Wleń,,1996-07-01,2010-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Wleń,,51.012248,15.668279
136,DsWrocAlWisn,PL0197A,"Wrocław, al. Wiśniowa",DsWrocWisA,2005-01-01,,komunikacyjna,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Wrocław,al. Wiśniowa/ul. Powst. Śląskich,51.086225,17.012689
137,DsWrocBartni,PL0193A,"Wrocław, ul. Bartnicza",DsWrocBartA,2005-01-01,,tło,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Wrocław,ul. Bartnicza,51.115933,17.141125
138,DsWrocGrun,,Wrocław - Grunwald,,1996-01-01,2005-12-31,komunikacyjna,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,pl. Grunwaldzki 9,51.109899,17.056491
139,DsWrocKorzPMArch,,Wrocław - Korzeniowskiego (PM10-Arch),,2005-01-01,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Wrocław,ul. Wyb. J.Conrada-Korzeniowskiego,51.129409,17.029552
140,DsWrocKrom,,Wrocław - Kromera,,1995-01-01,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,ul. Kromera 44,51.132752,17.064494
141,DsWrocNaGrob,PL0490A,"Wrocław, ul. Na Grobli",DsWrocGrobla,2010-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Wrocław,ul. Na Grobli,51.103456,17.059225
142,DsWrocOlsz,,Wrocław - Olszewskiego,,1978-01-01,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,ul. Olszewskiego 21,51.102735,17.096759
143,DsWrocOpor,,Wrocław - Oporowska,,1995-01-01,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,ul. Oporowska 16,51.098027,17.002063
144,DsWrocOrzech,PL0196A,"Wrocław, ul. Orzechowa",,2011-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Wrocław,ul. Orzechowa 61,51.077525,17.042817
145,DsWrocOrzechArch,,Wrocław - Orzechowa (PM10-Arch),,2005-01-01,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Wrocław,ul. Orzechowa 61,51.077525,17.042816
146,DsWrocPret,,Wrocław - Pretficza,,1994-01-01,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,ul. Pretficza 7,51.090895,17.013682
147,DsWrocSklad,,Wrocław - Składowa,,1977-01-01,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,ul. Składowa 1/3,51.119722,17.027500
148,DsWrocTech,,Wrocław - Mł.Techników,,1986-01-01,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,ul. Młodych Techników 7,51.113611,17.013056
149,DsWrocUkr,PL0009A,Wrocław - Ukryta,,1998-01-01,2005-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,ul. Ukryta 10,51.117029,17.053859
150,DsWrocWie,PL0025A,Wrocław - Wierzbowa,,1994-11-08,2011-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wrocław,ul. Wierzbowa 14/16,51.105490,17.036471
151,DsWrocWybCon,PL0194A,"Wrocław, wyb. Conrada-Korzeniowskiego",DsWrocKorzA,2005-01-01,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Wrocław,ul. Wyb. J.Conrada-Korzeniowskiego 18,51.129378,17.029250
152,DsWyszkow,PL0320A,Wyszków,,1996-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Wyszków,,50.963536,14.993653
153,DsZabkKlodz,,Ząbkowice Śląskie - ul. Kłodzka,,1977-01-02,2005-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Ząbkowice Śląskie,ul. Kłodzka 2,50.586033,16.809694
154,DsZabkPowWar,PL0321A,Ząbkowice Śląskie,DsZabkowSemi,2008-09-01,2020-12-08,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Ząbkowice Śląskie,ul. Powstańców Warszawy 5,50.592325,16.819786
155,DsZameczno,,Zameczno,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Zameczno,,51.669507,15.932111
156,DsZgorBohGet,PL0198A,"Zgorzelec, ul. Bohaterów Getta",DsZgorzBohA,2005-01-01,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Zgorzelec,ul. Bohaterów Getta 1a,51.150391,15.008175
157,DsZgorzMar,PL0199A,Zgorzelec - Maratońska,,2005-01-01,2007-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Zgorzelec,ul. Maratońska,51.145777,15.012233
158,DsZgorzOrz,PL0322A,Zgorzelec - Orzeszkowej,,1996-01-01,2013-12-31,przemysłowa,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Zgorzelec,ul. Orzeszkowej 3,51.130156,15.001958
159,DsZgorzWar,,Zgorzelec - Warszawska,,1995-01-03,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Zgorzelec,ul. Warszawska 11,51.148418,15.007949
160,DsZlotKosc,,Złotoryja - Kościuszki,,2000-01-01,2002-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Złotoryja,ul. Kościuszki 5,51.123326,15.911288
161,DsZlotoryjaPMArch,,Złotoryja - Staszica (PM10-Arch),,2009-01-01,2009-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Złotoryja,ul. Stanisława Staszica 22,51.123900,15.920289
162,DsZlotoStasz,PL0477A,Złotoryja - Staszica,DsZlotoryjaPM,2011-01-01,2019-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Złotoryja,ul. Stanisława Staszica 22,51.123900,15.920289
163,DsZukowice,,Żukowice,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Żukowice,,51.667269,15.984407
164,KpAirpKoluda,PL0601A,Kołuda Wielka Airpointer,,2013-04-25,2014-01-02,tło,pozamiejski,mobilna,KUJAWSKO-POMORSKIE,Kołuda Wielka,,52.735809,18.148974
165,KpBrodKochan,PL0606A,"Brodnica, ul. Kochanowskiego",KpBrodnicaKochanowskiego,2015-01-01,,tło,miejski,wolnostojący pobornik pyłu,KUJAWSKO-POMORSKIE,Brodnica,ul. Kochanowskiego,53.249264,19.415086
166,KpBrodnZwirki,PL0323A,"Brodnica ""Żwirki""",,2003-03-16,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Brodnica,ul. Żwirki i Wigury 1,53.257500,19.406667
167,KpBydFieldor,PL0491A,"Bydgoszcz, ul. Fieldorfa","KpBydgBerlinga, KpBydBerling",2010-04-01,,tło,podmiejski,wolnostojący pobornik pyłu,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. gen. Augusta Emila Fieldorfa „Nila” 13,53.151452,18.132062
168,KpBydgATRKalisk,PL0324A,"Bydgoszcz ""Fordon ATR""",,1990-01-02,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Kaliskiego 7,53.142778,18.126944
169,KpBydgBlota,,Bydgoszcz Białe Błota,,2006-01-09,2009-12-31,tło,podmiejski,mobilna,KUJAWSKO-POMORSKIE,Białe Błota,ul. Szubińska 8,53.100278,17.920278
170,KpBydgChemEC,PL0583A,Bydgoszcz Chemiczna EC,,2012-01-01,2013-12-31,przemysłowa,podmiejski,mobilna,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Chemiczna,53.104444,18.073611
171,KpBydgCO,,Bydgoszcz Centrum Onkologiczne,,2006-08-22,2009-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Berlinga 13,53.150833,18.131389
172,KpBydgMorska,PL0325A,"Bydgoszcz ""Morska""",,1993-01-18,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Morska 2,53.127500,18.054444
173,KpBydgUjejskiego,PL0063A,"Bydgoszcz ""Szpital XXX-lecia""",,1981-01-13,2010-12-31,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Ujejskiego 75,53.114722,18.027222
174,KpBydgWPola,PL0065A,"Bydgoszcz ""W. Pola""",,1994-01-04,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. W. Pola 19,53.125000,17.975833
175,KpBydgWzgWolnosci,,Bydgoszcz Wzgórze Wolności,,2008-03-31,2009-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Słowiańska 7,53.115833,18.016111
176,KpBydgZachemHutn,PL0326A,Zachem - Hutnicza,,1999-03-01,2012-12-31,przemysłowa,miejski,w budynku,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Hutnicza 89,53.101667,18.106111
177,KpBydgZachemWojska,PL0327A,"Bydgoszcz ""Zachem2""",,1983-01-11,2009-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Wojska Polskiego 46,53.102222,18.059444
178,KpBydPlPozna,PL0252A,"Bydgoszcz, pl. Poznański",KpBydgPlPozn,2006-01-06,,komunikacyjna,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Bydgoszcz,Plac Poznański,53.121764,17.987906
179,KpBydWarszaw,PL0064A,"Bydgoszcz, ul. Warszawska",KpBydgWarszawska,1995-01-21,,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Bydgoszcz,ul. Warszawska 10,53.134083,17.995708
180,KpChelmLunawMOB,PL0737A,"Chełmno, Łunawska 3A",,2020-01-08,2021-01-04,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Chełmno,ul. Łunawska 3A,53.351975,18.447498
181,KpChelmnLunawska,PL0328A,"Chełmno ""Łunawska""",,2003-03-16,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Chełmno,ul. Łunawska 2A,53.348611,18.445278
182,KpCiechTezni,PL0066A,"Ciechocinek, ul. Tężniowa",KpCiechoTezniowa,1995-04-05,,tło,podmiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Ciechocinek,ul. Tężniowa - Park Tężniowy,52.888422,18.780908
183,KpDAFAleksandrowK,,Aleksandrów Kujawski,,2010-01-01,2010-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Aleksandrów Kujawski,ul. Słowackiego 18,52.878333,18.697500
184,KpDAFBrzescK,,Brześć Kujawski,,2005-03-01,2005-09-30,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Brześć Kujawski,ul. Kilińskiego,52.605000,18.906944
185,KpDAFChelmza,,Chełmża (stacja mobilna),,2010-08-01,2010-11-16,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Chełmża,ul. Gen. J.Hallera 2,53.186389,18.610556
186,KpDAFChodecz,,Chodecz,,2008-01-01,2008-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Chodecz,ul. I Armii Wojska Polskiego,52.401667,19.029444
187,KpDAFDobrzynUM,,Dobrzyń UM,,2003-01-01,2007-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Dobrzyń nad Wisłą,ul. Szkolna 4,52.637778,19.321667
188,KpDAFGolub,,Golub - Dobrzyń (stacja mobilna),,2005-06-01,2009-06-17,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Golub-Dobrzyń,ul. Dworcowa,53.120556,19.050556
189,KpDAFIzbica,,Izbica Kujawska,,2006-09-01,2010-12-31,tło,pozamiejski,mobilna,KUJAWSKO-POMORSKIE,Izbica Kujawska,ul. Warszawska 2,52.419478,18.767222
190,KpDAFLasin,,Łasin (stacja mobilna),,2006-03-06,2006-05-13,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Łasin,ul. Odrodzenia Polski 5,53.518333,19.089444
191,KpDAFMarusza,,Marusza (stacja mobilna),,2008-02-01,2008-05-13,tło,podmiejski,mobilna,KUJAWSKO-POMORSKIE,Grudziądz,ul. Warszawska 36,53.453889,18.791667
192,KpDAFNieszawa,,Nieszawa,,2006-05-01,2006-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Nieszawa,ul. Laskowskiego 3,52.838611,18.895000
193,KpDAFRadziejowRPGK,,Radziejów RPGK,,2009-01-01,2009-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Radziejów,ul. Komunalna 19,52.629722,18.530278
194,KpDAFRadzyn,,Radzyń Chełmiński (stacja mobilna),,2010-01-01,2010-05-20,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Radzyń Chełmiński,ul. Sady 14,53.381944,18.936944
195,KpDAFRypinKOMES,,RypinKOMES,,2009-01-01,2009-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Rypin,ul. E. Orzeszkowej 4,53.065556,19.405278
196,KpGrudPilsud,PL0580A,"Grudziądz, ul. Piłsudskiego",KpAirpGrudz,2012-03-01,,komunikacyjna,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Grudziądz,ul. Piłsudskiego 51,53.493550,18.762139
197,KpGrudSienki,PL0542A,"Grudziądz, ul. Sienkiewicza",KpGrudzStar,2011-04-29,,tło,miejski,wolnostojący pobornik pyłu,KUJAWSKO-POMORSKIE,Grudziądz,ul. Sienkiewicza 27,53.491831,18.752503
198,KpGrudzIkara,PL0200A,"Grudziądz ""Ikara""",,2003-03-16,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Grudziądz,ul. Ikara 8,53.464167,18.769444
199,KpGrudzKosynierow,PL0329A,"Grudziądz ""Kosynierów""",,1993-01-04,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Grudziądz,ul. Kosynierów Gdyńskich 31,53.492778,18.754167
200,KpInowOsMatwMOB,PL0656A,Inowrocław Mątwy airponter,KpAirpInowrMatwy,2016-02-04,2017-01-10,przemysłowa,miejski,mobilna,KUJAWSKO-POMORSKIE,Inowrocław,ul. Chemiczna,52.755688,18.254380
201,KpInowrKleeberga,PL0330A,"Inowrocław ""Rąbin""",,2003-03-16,2009-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Inowrocław,ul. Kleeberga 1,52.786667,18.250556
202,KpInowrMatewska,,"Soda-Mątwy ""Mątewska""",,1995-07-01,2011-12-31,przemysłowa,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Inowrocław,ul. Mątewska 34,52.751944,18.262500
203,KpInowrPlacKlaszt,PL0331A,"Inowrocław ""Śródmieście""",,2003-01-01,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Inowrocław,ul. Klac Klasztorny 1b,52.796667,18.258889
204,KpInowrPoznanska,,"Inowrocław ""Poznańska""",,1992-02-01,2011-12-31,przemysłowa,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Inowrocław,ul. Poznańska 307,52.750000,18.252500
205,KpInowrSolan,PL0067A,Inowrocław Solankowa,,2012-01-01,2012-12-31,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Inowrocław,ul. Solankowa,52.793290,18.241090
206,KpInowrSolankowa,,"Inowrocław ""Uzdrowisko""",,2003-03-16,2010-12-31,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Inowrocław,ul. Solankowa 77,52.793611,18.243333
207,KpInowSolank,PL0581A,"Inowrocław, ul. Solankowa",KpAirpInowr,2011-03-04,,tło,podmiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Inowrocław,ul. Solankowa,52.793122,18.241044
208,KpKoniczynka,PL0068A,"Koniczynka, Pojezierze Chełmińskie",KpKoniczZMSP,1996-01-01,,tło,pozamiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Koniczynka,Pojezierze Chełmińskie,53.080647,18.684258
209,KpKruszwicamob,,Kruszwica,,2010-03-10,2010-05-13,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Kruszwica,ul. Niepodległości,52.678056,18.314167
210,KpKruszynLotnisko,,Lotnisko Kruszyn,,2000-01-19,2004-12-31,tło,pozamiejski,w budynku,KUJAWSKO-POMORSKIE,Kruszyn,,52.586114,19.010000
211,KpMogilKosciuszki,PL0332A,Mogilno,,2003-03-16,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Mogilno,ul. T. Kościuszki 3,52.659167,17.949722
212,KpMogiNowMOB,PL0751A,"Mogilno,Kościuszki",KpMogilnoNowa,2019-01-03,2021-01-07,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Mogilno,ul. Kościuszki,52.656842,17.949565
213,KpNakloSkargi,,Nakło,,2003-03-16,2010-12-31,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Nakło nad Notecią,ul. P. Skargi 2,53.139444,17.607778
214,KpNaklSkargi,PL0201A,Nakło Piotra Skargi,KpNakloPiotraSkargi,2011-01-01,2020-01-01,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Nakło nad Notecią,ul. Piotra Skargi,53.138358,17.605139
215,KpNaklWawrzy,PL0683A,"Nakło nad Notecią, ul. Św. Wawrzyńca",KpNakloNowa,2020-12-29,,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Nakło nad Notecią,ul. Świętego Wawrzyńca,53.136681,17.591539
216,KpNwiesNaftobazy,PL0333A,Naftobazy,,1990-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Nowa Wies Wielka,ul. Przemyslowa,52.970278,18.091389
217,KpPiech,PL0334A,Lafarge-Piechcin,,1998-06-01,2011-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Piechcin,,52.816389,18.032778
218,KpPrzysRCRRiOW,,Przysiek - RCRRiOW,,1996-05-15,2005-03-31,BRAK DANYCH,pozamiejski,w budynku,KUJAWSKO-POMORSKIE,Przysiek,,53.029444,18.504444
219,KpSadlog,PL0202A,Lafarge-Sadłogoszcz,,2001-03-20,2011-12-31,tło,pozamiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Sadłogoszcz,,52.844722,18.005000
220,KpSepolno,,Sępólno Krajeńskie,,2006-02-20,2009-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Sępólno Krajeńskie,ul. Sienkiewicza 54,53.447500,17.527778
221,KpSolecRowecMOB,PL0780A,"Solec Kujawski, ul. gen. Roweckiego",KpSolecBojowMOB,2021-01-04,2022-12-28,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Solec Kujawski,"ul. gen. Stefana Roweckiego ""Grota""",53.079618,18.2279
222,KpSwiecGruczno,,Frantschach - Gruczno,,1997-01-01,2003-02-27,przemysłowa,pozamiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Górne Gruczno,,53.364722,18.316667
223,KpSwiecGruczno2,PL0069A,02 - Gruczno,,2005-02-01,2011-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Górne Gruczno,,53.355556,18.318333
224,KpSwiecJPawlMOB,PL0816A,"Świecie, al. Jana Pawła II",,2022-12-28,,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Świecie,al. Jana Pawła II 8,53.407580,18.428751
225,KpSwiecKolejowa,,Frantschach - stacja nr 1,,1995-03-10,2003-03-10,przemysłowa,podmiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Świecie,ul. Kolejowa 20,53.398056,18.416389
226,KpSwiecPrzechowo,PL0070A,01 Przechowo,,2005-02-01,2014-01-01,przemysłowa,podmiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Świecie Przechowo,,53.398056,18.416389
227,KpSwiecSadowa,PL0336A,"Świecie ""Sądowa""",,2003-03-16,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Świecie,ul. Sądowa 5,53.407222,18.453889
228,KpToruDziewu,PL0071A,"Toruń, ul. Dziewulskiego",KpTorunDziewulsk,1993-04-20,,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Toruń,ul. Dziewulskiego 1,53.028647,18.666103
229,KpToruKaszow,PL0072A,"Toruń, ul. Przy Kaszowniku",KpTorunKaszownik,1997-01-01,,komunikacyjna,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Toruń,ul. Przy Kaszowniku,53.017628,18.612808
230,KpTorunGagarina,PL0337A,"Toruń ""Gagarina""",,1988-01-20,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Toruń,ul. Gagarina 34,53.018333,18.565000
231,KpTorunKonstytucji,PL0338A,"Toruń ""Konstytucji""",,2003-03-16,2009-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Toruń,ul. Konstytucji 3-Maja 15,53.023889,18.681667
232,KpTorunKopernika,PL0339A,"Toruń ""Kopernika""",,1983-01-02,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Toruń,ul. M. Kopernika 9,53.009167,18.604167
233,KpTorunLotnisko,PL0073A,"Toruń, LOTNISKO",,1989-09-18,2008-12-16,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Toruń,ul. Bielańska 66,53.028333,18.561678
234,KpTorunOPSIS,,"Toruń, OPSIS",,1995-06-01,2005-12-31,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Toruń,pl. Teatralny 2,53.013611,18.604722
235,KpTorunPoznanska,PL0340A,"Toruń ""Poznańska""",,2003-03-16,2009-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Toruń,ul. Poznańska 63,52.993611,18.595278
236,KpTorunSzpMiejski,PL0203A,Toruń Szpital Miejski,,2004-01-01,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Toruń,ul. Batorego,53.022500,18.620833
237,KpToruStorczMOB,PL0688A,"Toruń, ul. Storczykowa",KpAirpTorunIMGW,2018-01-01,2018-12-31,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Toruń,ul. Storczykowa 124,53.041945,18.595036
238,KpToruWSikor,PL0582A,"Toruń, ul. Wały gen. Sikorskiego",KpAirpTorun,2012-03-01,,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Toruń,ul. Wały Gen. Sikorskiego 12,53.012475,18.605681
239,KpTuchPiast,PL0341A,Tuchola Piastowska,,2011-01-01,2014-01-01,tło,podmiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Tuchola,ul. Piastowska,53.585961,17.869350
240,KpTuchPiastowska,,Tuchola,,1999-01-01,2010-12-31,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Tuchola,ul. Piastowska 30,53.585833,17.871667
241,KpWabrzMuzeum,PL0204A,Wąbrzeźno - muzeum,,2005-04-01,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Wąbrzeźno,ul. 1 Maja 40,53.279722,18.954167
242,KpWabrzstmob,,Wąbrzeźno (stacja mobilna),,2005-01-01,2008-12-13,tło,miejski,mobilna,KUJAWSKO-POMORSKIE,Wąbrzeźno,ul. Kętrzyńskiego 3,53.278333,18.966667
243,KpWieniecZdrMOB,PL0718A,Airponter Wieniec Zdrój,KpAirpWieniec,2018-12-28,2019-12-31,tło,podmiejski,mobilna,KUJAWSKO-POMORSKIE,Wieniec-Zdrój,ul. Wieniecka,52.656866,18.987368
244,KpWieniZdroj,PL0689A,"Wieniec Zdrój, ul. Wieniecka",,2018-01-01,,tło,podmiejski,wolnostojący pobornik pyłu,KUJAWSKO-POMORSKIE,Wieniec-Zdrój,ul. Wieniecka,52.656773,18.987456
245,KpWienSanatorium,PL0342A,"Wieniec-Zdrój Sanatorium ""Jutrzenka""",,1981-01-01,2010-12-31,BRAK DANYCH,pozamiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Wieniec-Zdrój,,52.656944,18.988611
246,KpWiktorowoG,PL0587A,Lafarge- Airpointer,KpAirpWiktorowo,2012-08-01,2015-01-01,przemysłowa,pozamiejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Wiktorowo,Wiktorowo 22,52.822942,17.859031
247,KpWloclChelmMOB,PL0605A,Airpointer Włocławek,KpAirpWlocWod,2015-01-01,2018-01-01,tło,podmiejski,mobilna,KUJAWSKO-POMORSKIE,Włocławek,ul. Chełmicka,52.672648,19.079261
248,KpWloclGnia2,PL0703A,"Włocławek, ul. Gniazdowskiego2",,2017-01-01,2017-12-31,tło,podmiejski,wolnostojący pobornik pyłu,KUJAWSKO-POMORSKIE,Włocławek,ul. Gniazdowskiego 7,52.651561,19.051886
249,KpWloclGniaz,PL0690A,"Włocławek, ul. Gniazdowskiego",,2017-04-01,,tło,podmiejski,wolnostojący pobornik pyłu,KUJAWSKO-POMORSKIE,Włocławek,ul. Gniazdowskiego 7,52.651561,19.051886
250,KpWloclKalis,PL0664A,"Włocławek, ul. Kaliska",,2018-12-01,,tło,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Włocławek,ul. Kaliska 108 A,52.637394,19.044486
251,KpWloclKilinskiego,PL0343A,"Włocławek ""Kilińskiego""",,2003-03-16,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Włocławek,ul. Kilińskiego 16,52.656389,19.062778
252,KpWloclLady,PL0074A,"Włocławek ""Łady""",,1996-01-01,2010-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Włocławek,ul. Łady 10,52.641944,19.047500
253,KpWloclMalinowa,PL0344A,"Włocławek ""Malinowa""",,1995-01-03,2009-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Włocławek,ul. Malinowa 5,52.678611,19.051667
254,KpWloclOkrze,PL0205A,"Włocławek, ul. Okrzei",KpWloclOkrzei,2005-01-01,,komunikacyjna,miejski,kontenerowa stacjonarna,KUJAWSKO-POMORSKIE,Włocławek,ul. Okrzei,52.658467,19.059314
255,KpWloclOpsis,,OPSIS Włocławek,,2002-06-01,2009-05-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Włocławek,pl. Wolności,52.663056,19.070000
256,KpWloclPlocka,PL0345A,"Włocławek ""Płocka""",,2003-03-16,2009-12-31,tło,miejski,w budynku,KUJAWSKO-POMORSKIE,Włocławek,ul. Płocka 45,52.654444,19.101667
